Total Votes,BRANDON JOHNSON,%,PAUL VALLAS,%,
"612,514","319,481",52.16%,"293,033",47.84%,
,,,,,
Ward 1,,,,,
Precinct,Total Voters,BRANDON JOHNSON,%,PAUL VALLAS,%
18,82,9,10.98%,73,89.02%
19,153,91,59.48%,62,40.52%
20,159,83,52.20%,76,47.80%
21,357,231,64.71%,126,35.29%
22,663,107,16.14%,556,83.86%
23,410,121,29.51%,289,70.49%
24,804,73,9.08%,731,90.92%
25,109,30,27.52%,79,72.48%
26,240,58,24.17%,182,75.83%
27,129,28,21.71%,101,78.29%
28,536,253,47.20%,283,52.80%
Total,"10,511","3,593",34.18%,"6,918",65.82%
