ward_precinct_id,GEOID,johnson_alloc,vallas_alloc,votes_alloc
18_003,170318216003,1.3484547920469822e-05,3.6144149065176847e-06,1.709896282698751e-05
18_003,170317005021,193.99323066481222,51.998185539021826,245.99141620383404
18_003,170317201002,0.006755850639857645,0.001810846563260812,0.008566697203118456
18_004,170317005021,360.0,111.0,471.0
18_007,170318216003,0.14005980783938501,0.05386915686130193,0.19392896470068693
18_007,170317005021,415.85994019216065,159.94613084313872,575.8060710352994
18_009,170318216003,0.14911666449420244,0.05587339740172062,0.20499006189592306
18_009,170317005021,410.8508833355058,153.94412660259826,564.795009938104
18_010,170318216003,524.0,245.0,769.0
18_012,170317005021,460.0,147.0,607.0
19_001,170318219003,0.001548979408536607,0.008529852824036045,0.010078832232572651
19_001,170317205001,0.025612732006550582,0.14104308503607246,0.16665581704262306
19_001,170317205002,1.588893150236168e-05,8.749648090827547e-05,0.00010338541241063715
19_001,170318219002,0.0011864381325446057,0.006533426202863876,0.007719864335408481
19_001,170317204002,73.54379540650801,404.98779227232455,478.5315876788326
19_001,170317204001,74.42160708455832,409.82168766158804,484.2432947461463
19_001,170317203003,0.0016316792497052556,0.008985260733174212,0.010616939982879468
19_001,170318219001,0.004601791204813827,0.025340944810292358,0.029942736015106185
19_002,170317203003,0.017487156167410377,0.017754135650882293,0.03524129181829267
19_002,170318219001,0.11036701271986622,0.11205200528047486,0.22241901800034108
19_002,170317203004,194.5171764412502,197.48690432584942,392.00408076709965
19_002,170317203001,1.8974150859144567,1.926383255165059,3.8237983410795158
19_002,170317201001,0.03661741134804017,0.037176455796101855,0.07379386714414202
19_002,170318216003,5.315942362567032e-13,5.397101787949735e-13,1.0713044150516767e-12
19_002,170317203002,196.41507848645358,199.4137819747964,395.82886046125
19_002,170317201003,0.005858406145889454,0.005947847461093873,0.011806253606983327
19_003,170317402004,0.0017329771606223903,0.04370953505125362,0.045442512211876014
19_003,170317402003,0.00010721377061540312,0.0027041695477440565,0.0028113833183594592
19_003,170318228022,9.049197620074769e-11,2.282408733063303e-09,2.3729007092640504e-09
19_003,170317402001,0.00014117196296320732,0.00356067062140534,0.0037018425843685474
19_003,170317402002,26.99462675033316,680.8644747028475,707.8591014531806
19_003,170317403004,0.0001445332891803856,0.0036454507382163927,0.003789984027396778
19_003,170317403005,0.0032473533929608628,0.0819054689113462,0.08515282230430707
19_004,170317403001,9.3547254911153,159.76886430878497,169.1235897999003
19_004,170317402002,0.0015707744148353647,0.02682717355863557,0.028397947973470936
19_004,170317403003,9.66095697701745,164.9989757390612,174.65993271607863
19_004,170317403004,9.505608831682911,162.34579294111077,171.85140177279368
19_004,170317403005,9.477137925769503,161.8595398374844,171.3366777632539
19_005,170317201001,153.39775345125653,253.7922181083797,407.1899715596362
19_005,170318216003,0.021840918409659554,0.03613517801923349,0.057976096428893044
19_005,170317203002,0.031562951111661984,0.05222000448148955,0.08378295559315153
19_005,170317201002,92.54884267922218,153.1194267091196,245.66826938834177
19_006,170317401003,0.006663920901963407,0.07215417804194861,0.07881809894391202
19_006,170317402004,0.007251533138257283,0.07851660018664783,0.08576813332490511
19_006,170317402003,0.006451895386615344,0.0698584534964558,0.07631034888307114
19_006,170318219004,0.0004746316567834258,0.00513911518034468,0.005613746837128106
19_006,170318219003,0.00868046168051441,0.09398844716143188,0.1026689088419463
19_006,170317205001,5.673138468294212,61.42639582911664,67.09953429741086
19_006,170317401001,30.38450651727374,328.9908636697915,359.37537018706524
19_006,170317401002,21.90962345834139,237.22833675583433,259.13796021417573
19_006,170317204002,0.003209113326518652,0.034746951190581264,0.037956064517099916
19_007,170318233041,143.96826944560723,775.8290075679945,919.7972770136017
19_007,170318233042,0.008848358430938213,0.047682820433389256,0.056531178864327465
19_007,170317401004,0.02084173060465807,0.11231377048065738,0.13315550108531546
19_007,170317503003,0.002040465357173372,0.010995841091434283,0.013036306448607654
19_008,170317502002,398.0,97.0,495.0
19_009,170317207001,0.08728314123231716,0.037640854656436774,0.12492399588875393
19_009,170317502002,160.07430869213692,69.03204562348405,229.10635431562096
19_009,170317207002,0.05221076793957124,0.022515893673940097,0.07472666161351134
19_009,170317502001,159.78619739869117,68.90779762818556,228.69399502687673
19_010,170317203001,0.00035926534263128386,0.0006578097822826324,0.0010170751249139163
19_010,170317202003,0.012590690464135577,0.02305337690616373,0.03564406737029931
19_010,170317201001,60.232669995426825,110.28517041416178,170.51784040958862
19_010,170317203002,0.0005662527838856752,0.001036800871903349,0.0016030536557890241
19_010,170317201002,30.372191824151262,55.61105545267132,85.98324727682258
19_010,170317201003,122.38162197183128,224.07902614560658,346.46064811743787
19_011,170317403001,0.003302545283146401,0.02094508982206007,0.024247635105206472
19_011,170318233044,0.0003801064905392339,0.002410675374209352,0.0027907818647485857
19_011,170317404004,5.041971073680227e-06,3.197671128307723e-05,3.701868235675746e-05
19_011,170318228011,0.00041920038130159815,0.002658612944570662,0.00307781332587226
19_011,170318228012,0.00045853538899411105,0.0029080797038837044,0.003366615092877815
19_011,170318228023,0.0007365065102865324,0.004671001815238271,0.005407508325524803
19_011,170318232001,0.002031428100941025,0.012883530850704922,0.014914958951645949
19_011,170318233031,0.002182631861981024,0.013842481019405967,0.01602511288138699
19_011,170318233032,0.0009522839267290781,0.0060394849037291535,0.0069917688304582315
19_011,170318233035,0.0005313136598109238,0.003369647158274543,0.0039009608180854667
19_011,170318233045,0.0003507567329186492,0.002224536121931433,0.002575292854850082
19_011,170317403003,0.0006498137076761906,0.004121186935525314,0.004771000643201505
